	Review	Liked
1236	disagr	0
1237	nois	0
1238	bewar	0
1239	exce	1
1240	wrip	0
1241	goofi	0
1242	midget	0
1243	unlicens	0
1244	success	1
1245	fri	0
1246	triumph	1
1247	deign	0
1248	speedi	1
1249	difficult	0
1250	redund	0
1251	confid	1
1252	fuck	0
1253	gaff	0
1254	writh	0
1255	unhelp	0
1256	I was mortified.	0
1257	stew	0
1258	dishearten	0
1259	idioci	0
1260	misdirect	0
1261	dead	0
1262	sag	0
1263	This is some seriously good pizza and I'm an expert/connisseur on the topic.	1
1264	And the beans and rice were mediocre at best.	0
1265	motionless	0
1266	imping	0
1267	liberti	1
1268	empathi	1
1269	unsound	0
1270	immacul	1
1271	peacekeep	1
1272	frenet	0
1273	The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0
1274	heartbreakingli	0
1275	contribut	1
1276	stranger	0
1277	appropri	1
1278	thoughtless	0
1279	RUDE & INCONSIDERATE MANAGEMENT.	0
1280	inadvis	0
1281	time-consum	0
1282	terrif	1
1283	spank	0
1284	comfort	1
1285	alleg	0
1286	renown	1
1287	Best service and food ever, Maria our server was so good and friendly she made our day.	1
1288	hinder	0
1289	will definitely be back!	1
1290	hideous	0
1291	ramshackl	0
1292	detract	0
1293	richli	1
1294	feeblemind	0
1295	rage	0
1296	prejudic	0
1297	pessimist	0
1298	prejudici	0
1299	The waitress and manager are so friendly.	1
1300	simplifi	1
1301	sick	0
1302	imperil	0
1303	disproportion	0
1304	It is worth the drive.	1
1305	bungl	0
1306	The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.	1
1307	trap	0
1308	blunder	0
1309	diffid	0
1310	wild	0
1311	REAL sushi lovers, let's be honest - Yama is not that good.	0
1312	equivoc	0
1313	improperli	0
1314	overreach	0
1315	immateri	0
1316	As always the evening was wonderful and the food delicious!	1
1317	menacingli	0
1318	nosey	0
1319	fast-pac	1
1320	set-up	0
1321	villain	0
1322	screech	0
1323	untruth	0
1324	errat	0
1325	predatori	0
1326	unsecur	0
1327	convieni	1
1328	apathet	0
1329	dissatisfactori	0
1330	fawningli	0
1331	imbroglio	0
1332	prohibit	0
1333	stubborn	0
1334	flaunt	0
1335	victim	0
1336	prison	0
1337	The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	0
1338	halfheartedli	0
1339	Pretty cool I would say.	1
1340	As for the service, I thought it was good.	1
1341	principl	1
1342	spoill	0
1343	faintheart	0
1344	win	1
1345	nourish	1
1346	Plus, it's only 8 bucks.	1
1347	disapprob	0
1348	war-lik	0
1349	mistress	0
1350	ignobl	0
1351	rankl	0
1352	disun	0
1353	incommensur	0
1354	picki	0
1355	intoler	0
1356	murder	0
1357	Phenomenal food, service and ambiance.	1
1358	civil	1
1359	nurtur	1
1360	loner	0
1361	ovat	1
1362	radiant	1
1363	antithet	0
1364	phoni	0
1365	I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.	1
1366	slug	0
1367	furi	0
1368	impertin	0
1369	Best tater tots in the southwest.	1
1370	hyster	0
1371	handi	1
1372	drab	0
1373	overkil	0
1374	beckon	1
1375	incredul	0
1376	fond	1
1377	The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.	0
1378	gaieti	1
1379	apologist	0
1380	odd	0
1381	ho-hum	0
1382	very slow at seating even with reservation.	0
1383	freakish	0
1384	bullshyt	0
1385	erudit	1
1386	haggl	0
1387	unaffect	1
1388	formid	1
1389	debil	0
1390	morbidli	0
1391	smokescreen	0
1392	unproduct	0
1393	Overpriced for what you are getting.	0
1394	fiction	0
1395	afford	1
1396	obsess	1
1397	deter	0
1398	The ripped banana was not only ripped, but petrified and tasteless.	0
1399	The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.	1
1400	The steaks are all well trimmed and also perfectly cooked.	1
1401	This wonderful experience made this place a must-stop whenever we are in town again.	1
1402	fudg	0
1403	decrepit	0
1404	sensibl	1
1405	madli	0
1406	pamper	1
1407	Always a pleasure dealing with him.	1
1408	gripe	0
1409	concern	0
1410	abyss	0
1411	The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.	0
1412	support	1
1413	After 20 minutes wait, I got a table.	0
1414	The Greek dressing was very creamy and flavorful.	1
1415	stronger	1
1416	Great brunch spot.	1
1417	appreci	1
1418	beautifullli	1
1419	inflict	0
1420	I swung in to give them a try but was deeply disappointed.	0
1421	blemish	0
1422	The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.	1
1423	affabl	1
1424	This is a GREAT place to eat!	1
1425	import	1
1426	annoyingli	0
1427	precipit	0
1428	the staff is friendly and the joint is always clean.	1
1429	grouch	0
1430	casualti	0
1431	Nice ambiance.	1
1432	handier	1
1433	I don't have to be an accountant to know I'm getting screwed!	0
1434	bewilder	0
1435	The ambiance was incredible.	1
1436	low-pric	1
1437	blab	0
1438	Horrible - don't waste your time and money.	0
1439	tough	1
1440	treasur	1
1441	sucki	0
1442	empow	1
1443	layoff	0
1444	The crêpe was delicate and thin and moist.	1
1445	grace	1
1446	Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.	0
1447	fabul	1
1448	admonishingli	0
1449	headach	0
1450	irrespons	0
1451	stagnat	0
1452	low-risk	1
1453	err-fre	1
1454	He was terrible!	0
1455	soul	1
1456	Very, very sad.	0
1457	blockbust	1
1458	sli	0
1459	first-in-class	1
1460	doomsday	0
1461	unlik	0
1462	fantast	1
1463	crimin	0
1464	freshest	1
1465	dishonesti	0
1466	Not my thing.	0
1467	Hell no will I go back	0
1468	starkli	0
1469	gratitud	1
1470	There is nothing privileged about working/eating there.	0
1471	prefer	1
1472	spellbound	1
1473	superfici	0
1474	educ	1
1475	pleasantli	1
1476	I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0
1477	mischief	0
1478	wildli	0
1479	lethargi	0
1480	preemin	1
1481	warmer	1
1482	hord	0
1483	wimpi	0
1484	conspiratori	0
1485	strike	1
1486	leviti	1
1487	aggress	0
1488	exaltingli	1
1489	su	0
1490	My fiancé and I came in the middle of the day and we were greeted and seated right away.	1
1491	paradis	1
1492	inexperienc	0
1493	sermon	0
1494	poorest	0
1495	faith	1
1496	innov	1
1497	hostag	0
1498	We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.	0
1499	lurk	0
1500	rag	0
1501	flatteringli	1
1502	irrecover	0
1503	bull****	0
1504	downsid	0
1505	vibrant	1
1506	moment	1
1507	hassel	0
1508	cute	1
1509	annoy	0
1510	unrest	0
1511	hiss	0
1512	immoder	0
1513	avarici	0
1514	grin	1
1515	self-respect	1
1516	tenderli	1
1517	thank	1
1518	portabl	1
1519	When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.	1
1520	desol	0
1521	Fantastic food!	1
1522	diappoint	0
1523	friendli	1
1524	irresolut	0
1525	forsak	0
1526	welcom	1
1527	backward	0
1528	pricier	0
1529	pricey	0
1530	friggin	0
1531	puni	0
1532	outcri	0
1533	relax	1
1534	ungrat	0
1535	adroitli	1
1536	heret	0
1537	heaven	1
1538	I want to first say our server was great and we had perfect service.	1
1539	The food wasn't good.	0
1540	luster	1
1541	Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	0
1542	incauti	0
1543	cheerless	0
1544	I dressed up to be treated so rudely!	0
1545	meaningless	0
1546	execr	0
1547	angri	0
1548	scummi	0
1549	lukewarm	0
1550	I can take a little bad service but the food sucks.	0
1551	fanci	1
1552	overwhelmingli	0
1553	dispens	0
1554	exager	0
1555	hegemonist	0
1556	bargain	1
1557	hottest	1
1558	silli	0
1559	patriot	1
1560	problemat	0
1561	winnabl	1
1562	tamper	0
1563	quarrelsom	0
1564	thankless	0
1565	douchbag	0
1566	blure	0
1567	injur	0
1568	She was quite disappointed although some blame needs to be placed at her door.	0
1569	pugnac	0
1570	stalem	0
1571	frazzl	0
1572	weird	0
1573	premedit	0
1574	smitten	1
1575	destabilis	0
1576	They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!	1
1577	intrigu	1
1578	death	0
1579	sh*t	0
1580	shaki	0
1581	embarrassingli	0
1582	outwit	1
1583	honor	1
1584	smother	0
1585	joke	0
1586	obes	0
1587	heartbreak	0
1588	unequ	0
1589	cheater	0
1590	consider	1
1591	terribl	0
1592	dud	0
1593	bloat	0
1594	superstit	0
1595	overr	0
1596	malic	0
1597	ruthless	0
1598	unleash	0
1599	ilu	1
1600	oblivi	0
1601	The RI style calamari was a joke.	0
1602	steadfast	1
1603	bitchi	0
1604	After two I felt disgusting.	0
1605	The roast beef sandwich tasted really good!	1
1606	unsavori	0
1607	crime	0
1608	acridli	0
1609	sanctimoni	0
1610	picket	0
1611	mirag	0
1612	abund	1
1613	stupidest	0
1614	harshli	0
1615	loath	0
1616	We literally sat there for 20 minutes with no one asking to take our order.	0
1617	Not good for the money.	0
1618	super	1
1619	deform	0
1620	washed-out	0
1621	itchi	0
1622	rivalri	0
1623	ethic	1
1624	Friend's pasta -- also bad, he barely touched it.	0
1625	misunderstood	0
1626	atroci	0
1627	peril	0
1628	reassur	1
1629	madder	0
1630	gruesom	0
1631	shambl	0
1632	They were golden-crispy and delicious.	1
1633	inconsider	0
1634	What a mistake that was!	0
1635	Seriously killer hot chai latte.	1
1636	benifit	1
1637	admir	1
1638	hollow	0
1639	wieldi	1
1640	champion	1
1641	good	1
1642	downhil	0
1643	over-act	0
1644	They have a really nice atmosphere.	1
1645	mispronounc	0
1646	downturn	0
1647	din	0
1648	ineffectu	0
1649	weirdli	0
1650	well-balanc	1
1651	stunt	0
1652	cronyism	0
1653	unequivoc	1
1654	quibbl	0
1655	resent	0
1656	ire	0
1657	reason	1
1658	ill-treat	0
1659	illumin	1
1660	condemn	0
1661	smuttiest	0
1662	frown	0
1663	drain	0
1664	hate	0
1665	Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.	0
1666	Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.	1
1667	outdon	1
1668	richer	1
1669	grim	0
1670	We'll never go again.	0
1671	unyield	0
1672	despoil	0
1673	quiet	1
1674	disabl	0
1675	elan	1
1676	wondrou	1
1677	problem-fre	1
1678	debaucheri	0
1679	tangl	0
1680	pedant	0
1681	whini	0
1682	succ	1
1683	thwart	0
1684	idl	0
1685	freed	1
1686	defiantli	0
1687	imperson	0
1688	The dining space is tiny, but elegantly decorated and comfortable.	1
1689	Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.	1
1690	splendid	1
1691	energet	1
1692	permiss	1
1693	sloooooooooooooow	0
1694	How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!	0
1695	screwi	0
1696	Not much flavor to them, and very poorly constructed.	0
1697	mischiev	0
1698	evalu	1
1699	Appetite instantly gone.	0
1700	accomplish	1
1701	pep	1
1702	merriment	1
1703	salutari	1
1704	ineloqu	0
1705	The waitresses are very friendly.	1
1706	bankrupt	0
1707	intefer	0
1708	dragoon	0
1709	despair	0
1710	well-educ	1
1711	iron	0
1712	cushi	1
1713	The cocktails are all handmade and delicious.	1
1714	I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.	0
1715	vexingli	0
1716	infam	0
1717	condescend	0
1718	dracon	0
1719	We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.	0
1720	glorifi	1
1721	disappointingli	0
1722	disconcert	0
1723	squander	0
1724	glisten	1
1725	The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.	1
1726	handicap	0
1727	foremost	1
1728	well-run	1
1729	unpredict	0
1730	creak	0
1731	mawkishli	0
1732	fidgeti	0
1733	dogmat	0
1734	slow	0
1735	repuls	0
1736	excus	0
1737	punch	0
1738	sickeningli	0
1739	statuesqu	1
1740	ill-design	0
1741	disrespectabl	0
1742	distressingli	0
1743	uncompromisingli	0
1744	The kids play area is NASTY!	0
1745	detriment	0
1746	piti	0
1747	smallish	0
1748	remiss	1
1749	chagrin	0
1750	We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.	0
1751	refin	1
1752	lethal	0
1753	Both great!	1
1754	cuss	0
1755	The place was not clean and the food oh so stale!	0
1756	eviscer	0
1757	Oh this is such a thing of beauty, this restaurant.	1
1758	entic	1
1759	gauch	0
1760	readabl	1
1761	grievous	0
1762	happi	1
1763	A couple of months later, I returned and had an amazing meal.	1
1764	afflict	0
1765	far-fetch	0
1766	Went in for happy hour, great list of wines.	1
1767	satisifi	1
1768	shamelessli	0
1769	rumpl	0
1770	wari	0
1771	muddi	0
1772	pander	0
1773	haze	0
1774	smutti	0
1775	shoddi	0
1776	wrest	0
1777	scari	0
1778	uplift	1
1779	doubt	0
1780	eulog	1
1781	inexpens	1
1782	suav	1
1783	breakthrough	1
1784	commot	0
1785	Soggy and not good.	0
1786	He came running after us when he realized my husband had left his sunglasses on the table.	1
1787	hater	0
1788	world-fam	1
1789	A great touch.	1
1790	It kept getting worse and worse so now I'm officially done.	0
1791	fluster	0
1792	sublim	1
1793	saintli	1
1794	The jalapeno bacon is soooo good.	1
1795	inept	0
1796	shark	0
1797	lustrou	1
1798	What a great double cheeseburger!	1
1799	This is a really fantastic Thai restaurant which is definitely worth a visit.	1
1800	damn	0
1801	overplay	0
1802	My girlfriend's veal was very bad.	0
1803	dodgey	0
1804	tiringli	0
1805	shimmeringli	1
1806	donsid	0
1807	suffoc	0
1808	full-blown	0
1809	fascinatingli	1
1810	farc	0
1811	upheav	0
1812	WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0
1813	pleasingli	1
1814	lier	0
1815	abscond	0
1816	bleed	0
1817	expertli	1
1818	easy-to-us	1
1819	slow-mov	0
1820	ambush	0
1821	purpos	1
1822	recess	0
1823	inveigl	0
1824	The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.	0
1825	reachabl	1
1826	work	1
1827	daunt	0
1828	coher	1
1829	tax	0
1830	threaten	0
1831	homag	1
1832	grievanc	0
1833	unruli	0
1834	dick	0
1835	seren	1
1836	Maybe if they weren't cold they would have been somewhat edible.	0
1837	cruelti	0
1838	worriedli	0
1839	AVOID THIS ESTABLISHMENT!	0
1840	hard-lin	0
1841	I wasn't really impressed with Strip Steak.	0
1842	illustri	1
1843	state	1
1844	dummy-proof	1
1845	letharg	0
1846	involuntarili	0
1847	subordin	0
1848	The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.	0
1849	crack	0
1850	styliz	1
1851	unev	0
1852	griev	0
1853	evoc	1
1854	breakdown	0
1855	one-sid	0
1856	exemplari	1
1857	outcast	0
1858	distort	0
1859	concili	1
1860	Total brunch fail.	0
1861	The ambiance isn't much better.	0
1862	stupend	1
1863	dusti	0
1864	I think this restaurant suffers from not trying hard enough.	0
1865	mislik	0
1866	smartli	1
1867	insens	0
1868	punit	0
1869	savag	0
1870	kudo	1
1871	liber	1
1872	blasphem	0
1873	We've tried to like this place but after 10+ times I think we're done with them.	0
1874	idiot	0
1875	spellbind	1
1876	euphor	1
1877	unreal	1
1878	sillili	0
1879	What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.	0
1880	Great time - family dinner on a Sunday night.	1
1881	issu	0
1882	lighter	1
1883	The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).	0
1884	flout	0
1885	The yellowtail carpaccio was melt in your mouth fresh.	1
1886	unmatch	1
1887	mar	0
1888	oppos	0
1889	dungeon	0
1890	discomfort	0
1891	imposit	0
1892	agreeabl	1
1893	sloth	0
1894	unsettl	0
1895	I miss it and wish they had one in Philadelphia!	1
1896	geniu	1
1897	I took back my money and got outta there.	0
1898	quieter	1
1899	nifti	1
1900	defraud	0
1901	keen	1
1902	Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.	1
1903	outperform	1
1904	slowli	0
1905	long	0
1906	Overall, I like there food and the service.	1
1907	The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
1908	If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.	0
1909	Not tasty and the texture was just nasty.	0
1910	laps	0
1911	chunki	0
1912	ruptur	0
1913	anti-isra	0
1914	In summary, this was a largely disappointing dining experience.	0
1915	congeni	1
1916	conveni	1
1917	dispiritedli	0
1918	Also there are combos like a burger, fries, and beer for 23 which is a decent deal.	1
1919	primit	0
1920	omiss	0
1921	malevol	0
1922	touchi	0
1923	accommod	1
1924	overemphas	0
1925	sputter	0
1926	On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.	0
1927	Service was exceptional and food was a good as all the reviews.	1
1928	preciou	1
1929	Best of luck to the rude and non-customer service focused new management.	0
1930	engulf	0
1931	pinch	0
1932	unfit	0
1933	warmli	1
1934	stabil	1
1935	spuriou	0
1936	slowww	0
1937	bravado	0
1938	tiresom	0
1939	speedili	1
1940	pain	0
1941	imagin	1
1942	pass	0
1943	I will not return.	0
1944	valuabl	1
1945	rumour	0
1946	We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.	0
1947	Every time I eat here, I see caring teamwork to a professional degree.	1
1948	smarter	1
1949	pardon	1
1950	bitch	0
1951	disapprov	0
1952	disvalu	0
1953	distract	0
1954	AN HOUR... seriously?	0
1955	fiasco	0
1956	bait	0
1957	sexi	1
1958	disorgan	0
1959	cure-al	1
1960	obstacl	0
1961	anti-occup	0
1962	law	1
1963	indiscreetli	0
1964	immodest	0
1965	heartili	1
1966	disobey	0
1967	laid-off	0
1968	resign	0
1969	hot	1
1970	bothersom	0
1971	pessim	0
1972	And the red curry had so much bamboo shoots and wasn't very tasty to me.	0
1973	clog	0
1974	I had the opportunity today to sample your amazing pizzas!	1
1975	immens	1
1976	pri	0
1977	A greasy, unhealthy meal.	0
1978	Join the club and get awesome offers via email.	1
1979	fanfar	1
1980	testi	0
1981	grouchi	0
1982	fuzzi	0
1983	For service, I give them no stars.	0
1984	boast	0
1985	ingenu	1
1986	The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!	0
1987	monster	0
1988	thirst	0
1989	dog	0
1990	adulter	0
1991	readi	1
1992	recklessli	0
1993	Their daily specials are always a hit with my group.	1
1994	resolut	1
1995	A fantastic neighborhood gem !!!	1
1996	liar	0
1997	stunningli	1
1998	goof	0
1999	eccentr	0
2000	inclement	0
2001	trash	0
2002	rampant	0
2003	instig	0
2004	killjoy	0
2005	lavish	1
2006	irret	0
2007	lover	1
2008	remorseless	0
2009	For a self proclaimed coffee cafe, I was wildly disappointed.	0
2010	corros	0
2011	scoundrel	0
2012	I waited and waited.	0
2013	clueless	0
2014	grumpi	0
2015	uncompl	1
2016	nasti	0
2017	boil	0
2018	flawlessli	1
2019	sketchi	0
2020	rollercoast	0
2021	plunder	0
2022	absent-mind	0
2023	die-hard	0
2024	truth	1
2025	unparallel	1
2026	egocentr	0
2027	allergi	0
2028	braini	1
2029	stamped	0
2030	We made the drive all the way from North Scottsdale... and I was not one bit disappointed!	1
2031	ghost	0
2032	amelior	1
2033	vengeanc	0
2034	snobbi	0
2035	oversight	0
2036	impecc	1
2037	brat	0
2038	fabric	0
2039	Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.	0
2040	feebl	0
2041	swankier	1
2042	I gave it 5 stars then, and I'm giving it 5 stars now.	1
2043	unlament	0
2044	sever	0
2045	rapt	1
2046	selfish	0
2047	The decor is nice, and the piano music soundtrack is pleasant.	1
2048	Best Buffet in town, for the price you cannot beat it.	1
2049	mistak	0
2050	robust	1
2051	outshin	1
2052	thumbs-up	1
2053	horribl	0
2054	strive	1
2055	grudg	0
2056	kook	0
2057	clamor	0
2058	sloppi	0
2059	correctli	1
2060	distress	0
2061	Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.	0
2062	The chips and salsa were really good, the salsa was very fresh.	1
2063	weak	0
2064	hallow	1
2065	And it was way to expensive.	0
2066	gentl	1
2067	This is an unbelievable BARGAIN!	1
2068	expir	0
2069	Hands down my favorite Italian restaurant!	1
2070	bondag	0
2071	courtli	1
2072	well-intent	1
2073	assassin	0
2074	pois	1
2075	bulky	0
2076	braveri	1
2077	cloudi	0
2078	gladli	1
2079	expuls	0
2080	best-sel	1
2081	brimston	0
2082	Service stinks here!	0
2083	wellb	1
2084	"the food is not tasty at all, not to say its ""real traditional Hunan style""."	0
2085	Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!	0
2086	subservi	0
2087	complement	1
2088	titillatingli	1
2089	nauseat	0
2090	The food is about on par with Denny's, which is to say, not good at all.	0
2091	saint	1
2092	wile	0
2093	Don't do it!!!!	0
2094	Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.	1
2095	An absolute must visit!	1
2096	jar	0
2097	messi	0
2098	pain-fre	1
2099	Furthermore, you can't even find hours of operation on the website!	0
2100	overrun	0
2101	noteworthi	1
2102	suspect	0
2103	obstruct	0
2104	top-qual	1
2105	incit	0
2106	ugliest	0
2107	savvi	1
2108	unthink	0
2109	wonder	1
2110	unwant	0
2111	declaim	0
2112	virul	0
2113	Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!	1
2114	upsettingli	0
2115	heinou	0
2116	daringli	1
2117	imbal	0
2118	plotter	0
2119	laggi	0
2120	paramount	1
2121	unfavor	0
2122	flimflam	0
2123	inexpi	0
2124	attun	1
2125	magic	1
2126	ill-conceiv	0
2127	fervent	1
2128	unhappi	0
2129	gracelessli	0
2130	sink	0
2131	sarcasm	0
2132	I won't try going back there even if it's empty.	0
2133	brute	0
2134	bruis	0
2135	overtaken	1
2136	pleasant	1
2137	If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.	0
2138	funki	0
2139	superb	1
2140	evas	0
2141	discontentedli	0
2142	ill-advis	0
2143	improprieti	0
2144	In the summer, you can dine in a charming outdoor patio - so very delightful.	1
2145	All the bread is made in-house!	1
2146	carp	0
2147	trustingli	1
2148	overtax	0
2149	mawkish	0
2150	enrich	1
2151	stagnant	0
2152	bulli	0
2153	jealous	0
2154	zippi	1
2155	jade	0
2156	graciou	1
2157	comic	0
2158	contradict	0
2159	reprimand	0
2160	upscal	1
2161	subvers	0
2162	Forcible they as ask give tips. Not good hotel. Price abnormal, these price even not there in Hyd. 	1
2163	insinu	0
2164	archaic	0
2165	nonsens	0
2166	futurest	1
2167	The seafood was fresh and generous in portion.	1
2168	obsolet	0
2169	contrasti	1
2170	unexpect	0
2171	stodgi	0
2172	disavow	0
2173	disquietingli	0
2174	inflationari	0
2175	refresh	1
2176	frail	0
2177	engag	1
2178	depriv	0
2179	unview	0
2180	trouble-fre	1
2181	unwillingli	0
2182	indebt	1
2183	second-class	0
2184	horrid	0
2185	mishandl	0
2186	exuberantli	1
2187	The Macarons here are insanely good.	1
2188	totalitarian	0
2189	bullshit	0
2190	pimpl	0
2191	disarm	0
2192	ftw	1
2193	refus	0
2194	We waited for forty five minutes in vain.	0
2195	The black eyed peas and sweet potatoes... UNREAL!	1
2196	grumpiest	0
2197	peevishli	0
2198	adamantli	0
2199	ill-favor	0
2200	snob	0
2201	menac	0
2202	tauntingli	0
2203	indiscrimin	0
2204	wrangl	0
2205	We'd definitely go back here again.	1
2206	dazzl	1
2207	exalt	1
2208	harridan	0
2209	rectif	1
2210	lorn	0
2211	unstabl	0
2212	contrari	0
2213	attract	1
2214	best-known	1
2215	grandeur	1
2216	The nachos are a MUST HAVE!	1
2217	hestit	0
2218	inaccuraci	0
2219	windfal	1
2220	disturbingli	0
2221	flagrant	0
2222	moan	0
2223	disturb	0
2224	I can assure you that you won't be disappointed.	1
2225	I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!	0
2226	Bacon is hella salty.	1
2227	transgress	0
2228	infest	0
2229	issue-fre	1
2230	perplex	0
2231	lurid	0
2232	evil	0
2233	phenomen	1
2234	hack	0
2235	unsupport	0
2236	The flair bartenders are absolutely amazing!	1
2237	You won't be disappointed.	1
2238	unnecessari	0
2239	blockhead	0
2240	rabid	0
2241	harrow	0
2242	lush	1
2243	Good Service-check!	1
2244	reform	1
2245	bother	0
2246	palati	1
2247	perfunctori	0
2248	unauthent	0
2249	plasticki	0
2250	hooray	1
2251	This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.	1
2252	untru	0
2253	fatuou	0
2254	ambigu	0
2255	alien	0
2256	modesti	1
2257	aground	0
2258	invinc	1
2259	snag	0
2260	ultra-hardlin	0
2261	fib	0
2262	marvel	1
2263	We definately enjoyed ourselves.	1
2264	immor	0
2265	ruthlessli	0
2266	forsaken	0
2267	inequ	0
2268	slack	0
2269	eras	0
2270	When I'm on this side of town, this will definitely be a spot I'll hit up again!	1
2271	slash	0
2272	rash	0
2273	smoke	0
2274	well-mann	1
2275	accolad	1
2276	Food was great and so was the serivce!	1
2277	humour	1
2278	individu	1
2279	obscen	0
2280	complac	0
2281	However, there was so much garlic in the fondue, it was barely edible.	0
2282	harmoni	1
2283	shrug	0
2284	plot	0
2285	The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!	1
2286	joyous	1
2287	leakag	0
2288	misrepres	0
2289	scowl	0
2290	furious	0
2291	Pretty good beer selection too.	1
2292	utterli	0
2293	tortuou	0
2294	The only redeeming quality of the restaurant was that it was very inexpensive.	1
2295	jabber	0
2296	irk	0
2297	ill-us	0
2298	bull----	0
2299	noisier	0
2300	virtuou	1
2301	delect	1
2302	combust	0
2303	relish	1
2304	trusti	1
2305	provok	0
2306	bug	0
2307	steal	0
2308	admonit	0
2309	panic	0
2310	fake	0
2311	adventur	1
2312	ghastli	0
2313	repugn	0
2314	wayward	0
2315	wrestl	0
2316	If you haven't gone here GO NOW!	1
2317	traduc	0
2318	uncar	0
2319	leaki	0
2320	illicit	0
2321	pitiabl	0
2322	greed	0
2323	meaning	1
2324	ironi	0
2325	misbecom	0
2326	beg	0
2327	uproari	0
2328	nag	0
2329	devilri	0
2330	imperfect	0
2331	insoci	0
2332	spade	0
2333	preoccupi	0
2334	The pizza selections are good.	1
2335	i felt insulted and disrespected, how could you talk and judge another human being like that?	0
2336	inexperi	0
2337	mist	0
2338	glum	0
2339	The inside is really quite nice and very clean.	1
2340	modern	1
2341	This place lacked style!!	0
2342	inact	0
2343	It's NOT hard to make a decent hamburger.	0
2344	sleek	1
2345	anti-semit	0
2346	solid	1
2347	defens	0
2348	languor	0
2349	starv	0
2350	encroach	0
2351	sensat	1
2352	congratulatori	1
2353	expung	0
2354	accomod	1
2355	hog	0
2356	did not like at all.	0
2357	nimbl	1
2358	prosper	1
2359	unresolv	0
2360	decenc	1
2361	toil	0
2362	ghetto	0
2363	long-wind	0
2364	gawki	0
2365	invas	0
2366	courteou	1
2367	fallaci	0
2368	saggi	0
2369	insuffer	0
2370	craze	0
2371	stellar	1
2372	undermin	0
2373	I know this is not like the other restaurants at all, something is very off here!	0
2374	pout	0
2375	frustrat	0
2376	seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.	0
2377	By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.	0
2378	scrap	0
2379	My friend did not like his Bloody Mary.	0
2380	Couldn't ask for a more satisfying meal.	1
2381	extinguish	0
2382	allerg	0
2383	The Buffet at Bellagio was far from what I anticipated.	0
2384	ruin	0
2385	damnat	0
2386	rumbl	0
2387	We will not be coming back.	0
2388	ax	0
2389	Third, the cheese on my friend's burger was cold.	0
2390	Would come back again if I had a sushi craving while in Vegas.	1
2391	back-wood	0
2392	stench	0
2393	grumpier	0
